app_no,product_no,brand_name,generic_name,strength,route,approval_date,app_type,patent_number,patent_expiry_date
212379,1,AMZEEQ,MINOCYCLINE HYDROCHLORIDE,EQ 4% BASE,"AEROSOL, FOAM;TOPICAL","Oct 18, 2019",N,10137200,"Oct 1, 2030"
212379,1,AMZEEQ,MINOCYCLINE HYDROCHLORIDE,EQ 4% BASE,"AEROSOL, FOAM;TOPICAL","Oct 18, 2019",N,8865139,"Oct 1, 2030"
212379,1,AMZEEQ,MINOCYCLINE HYDROCHLORIDE,EQ 4% BASE,"AEROSOL, FOAM;TOPICAL","Oct 18, 2019",N,10398641,"Sep 8, 2037"
212379,1,AMZEEQ,MINOCYCLINE HYDROCHLORIDE,EQ 4% BASE,"AEROSOL, FOAM;TOPICAL","Oct 18, 2019",N,9675700,"Oct 1, 2030"
212379,1,AMZEEQ,MINOCYCLINE HYDROCHLORIDE,EQ 4% BASE,"AEROSOL, FOAM;TOPICAL","Oct 18, 2019",N,8992896,"Oct 1, 2030"
212379,1,AMZEEQ,MINOCYCLINE HYDROCHLORIDE,EQ 4% BASE,"AEROSOL, FOAM;TOPICAL","Oct 18, 2019",N,10086080,"Oct 1, 2030"
212379,1,AMZEEQ,MINOCYCLINE HYDROCHLORIDE,EQ 4% BASE,"AEROSOL, FOAM;TOPICAL","Oct 18, 2019",N,10213512,"Oct 1, 2030"
212379,1,AMZEEQ,MINOCYCLINE HYDROCHLORIDE,EQ 4% BASE,"AEROSOL, FOAM;TOPICAL","Oct 18, 2019",N,10517882,"Oct 1, 2030"
212379,1,AMZEEQ,MINOCYCLINE HYDROCHLORIDE,EQ 4% BASE,"AEROSOL, FOAM;TOPICAL","Oct 18, 2019",N,10849847,"Sep 8, 2037"
212379,1,AMZEEQ,MINOCYCLINE HYDROCHLORIDE,EQ 4% BASE,"AEROSOL, FOAM;TOPICAL","Oct 18, 2019",N,10821187,"Oct 1, 2030"
212379,1,AMZEEQ,MINOCYCLINE HYDROCHLORIDE,EQ 4% BASE,"AEROSOL, FOAM;TOPICAL","Oct 18, 2019",N,8945516,"Oct 1, 2030"
212379,1,AMZEEQ,MINOCYCLINE HYDROCHLORIDE,EQ 4% BASE,"AEROSOL, FOAM;TOPICAL","Oct 18, 2019",N,10265404,"Oct 1, 2030"
205175,1,ECOZA,ECONAZOLE NITRATE,1%,"AEROSOL, FOAM;TOPICAL","Oct 24, 2013",N,10071054,"Aug 8, 2031"
207589,1,ENSTILAR,BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,0.064%;0.005%,"AEROSOL, FOAM;TOPICAL","Oct 16, 2015",N,9119781,"Jun 10, 2031"
207589,1,ENSTILAR,BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,0.064%;0.005%,"AEROSOL, FOAM;TOPICAL","Oct 16, 2015",N,9119781,"Jun 10, 2031"
207589,1,ENSTILAR,BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,0.064%;0.005%,"AEROSOL, FOAM;TOPICAL","Oct 16, 2015",N,10688108,"Jun 10, 2031"
207589,1,ENSTILAR,BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,0.064%;0.005%,"AEROSOL, FOAM;TOPICAL","Oct 16, 2015",N,10660908,"Jun 10, 2031"
207589,1,ENSTILAR,BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,0.064%;0.005%,"AEROSOL, FOAM;TOPICAL","Oct 16, 2015",N,9566286,"Jun 10, 2031"
