brand_name,generic_name,status,earliest_expiry,days_until,category,route,strength,approval_date,patent_count,approval_year,approval_month,brand_price_monthly,brand_price_annual,generic_price_monthly,generic_price_annual,monthly_savings,annual_savings,savings_percent,generic_available
ABILIFY,ARIPIPRAZOLE,Expired,2024-07-21,-607,Other,INJECTABLE;INTRAMUSCULAR,9.75MG/1.3ML (7.5MG/ML),2006-09-20,21,2006.0,9.0,287.27,3447.24,62.78,753.36,224.49,2693.88,78.1,Yes
IXEMPRA KIT,IXABEPILONE,Expired,2024-08-21,-576,Injectable,INJECTABLE;INTRAVENOUS,15MG/VIAL,2007-10-16,4,2007.0,10.0,2876.79,34521.48,555.31,6663.72,2321.48,27857.76,80.7,Yes
TECHNIVIE,OMBITASVIR; PARITAPREVIR; RITONAVIR,Expired,2024-08-25,-572,Oral,TABLET;ORAL,12.5MG;75MG;50MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,2015-07-24,11,2015.0,7.0,612.4,7348.8,73.52,882.24,538.88,6466.56,88.0,Yes
STIOLTO RESPIMAT,OLODATEROL HYDROCHLORIDE; TIOTROPIUM BROMIDE,Expired,2024-08-26,-571,Respiratory,"SPRAY, METERED;INHALATION",EQ 0.0025MG BASE/INH;EQ 0.0025MG BASE/INH,2015-05-21,11,2015.0,5.0,419.4,5032.8,104.5,1254.0,314.9,3778.8,75.1,Yes
SPIRIVA RESPIMAT,TIOTROPIUM BROMIDE,Expired,2024-08-26,-571,Respiratory,"SPRAY, METERED;INHALATION",EQ 0.00125MG BASE/INH,2015-09-15,12,2015.0,9.0,220.21,2642.52,45.46,545.52,174.75,2097.0,79.4,Yes
XARELTO,RIVAROXABAN,Expired,2024-08-28,-569,Oral,FOR SUSPENSION;ORAL,1MG/ML,2021-12-20,48,2021.0,12.0,209.2,2510.4,33.09,397.08,176.11,2113.32,84.2,Yes
ARMONAIR DIGIHALER,FLUTICASONE PROPIONATE,Expired,2024-09-01,-565,Respiratory,POWDER;INHALATION,0.03MG/INH,2022-04-08,48,2022.0,4.0,176.14,2113.68,39.97,479.64,136.17,1634.04,77.3,Yes
ARMONAIR RESPICLICK,FLUTICASONE PROPIONATE,Expired,2024-09-01,-565,Respiratory,POWDER;INHALATION,0.03MG/INH,2021-07-09,24,2021.0,7.0,539.78,6477.36,151.01,1812.12,388.77,4665.24,72.0,Yes
AIRDUO RESPICLICK,FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,Expired,2024-09-01,-565,Respiratory,POWDER;INHALATION,0.055MG/INH;EQ 0.014MG BASE/INH,2017-01-27,32,2017.0,1.0,420.5,5046.0,97.15,1165.8,323.35,3880.2,76.9,Yes
AIRDUO DIGIHALER,FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,Expired,2024-09-01,-565,Respiratory,POWDER;INHALATION,0.055MG/INH;EQ 0.014MG BASE/INH,2019-07-12,50,2019.0,7.0,468.63,5623.56,115.06,1380.72,353.57,4242.84,75.4,Yes
