brand_name,generic_name,category,brand_price_monthly,generic_price_monthly,monthly_savings,annual_savings,savings_percent
RYANODEX,DANTROLENE SODIUM,Injectable,2929.46,641.4,2288.06,27456.72,78.1
IXEMPRA KIT,IXABEPILONE,Injectable,2876.79,628.74,2248.05,26976.6,78.1
ZOMETA,ZOLEDRONIC ACID,Injectable,2678.65,495.72,2182.93,26195.16,81.5
FORTEO,TERIPARATIDE,Injectable,2505.49,385.75,2119.74,25436.88,84.6
BRIVIACT,BRIVARACETAM,Injectable,2627.84,563.3,2064.54,24774.48,78.6
EPIPEN,EPINEPHRINE,Injectable,1780.23,272.66,1507.57,18090.84,84.7
VYONDYS 53,GOLODIRSEN,Injectable,1796.98,371.53,1425.45,17105.4,79.3
FOLOTYN,PRALATREXATE,Injectable,966.43,148.17,818.26,9819.12,84.7
EPIPEN JR.,EPINEPHRINE,Injectable,1066.24,259.76,806.48,9677.76,75.6
DIPRIVAN,PROPOFOL,Injectable,954.56,198.74,755.82,9069.84,79.2
